question id,question,a,b,c,d,solution
27,What is the name of the famous American entrepreneur who is known for his work as the CEO of Tesla Inc.?,Mark Zuckerberg,Jeff Bezos,Bill Gates,Elon Musk,d
28,"What is the name of the famous American actress who is known for her work as a character in the ""Friends"" TV series?",Jennifer Aniston,Courteney Cox,Lisa Kudrow,Maggie Wheeler,a
29,What is the name of the famous American athlete who is known for his work as a professional basketball player and as a businessman?,Michael Jordan,Kobe Bryant,LeBron James,Magic Johnson,d
30,"What is the name of the famous American actor who is known for his work as a character in the ""Star Wars"" movies?",Harrison Ford,Mark Hamill,Anthony Daniels,Billy Dee Williams,b
31,"What is the name of the famous American singer who is known for her work as a character in the movie ""The Bodyguard""?",Whitney Houston,Mariah Carey,Celine Dion,Adele,a
32,"What is the name of the famous American actor who is known for his work as a character in the ""Terminator"" movies?",Arnold Schwarzenegger,Sylvester Stallone,Bruce Willis,Jean-Claude Van Damme,a
33,What is the name of the famous American athlete who is known for his work as a professional boxer?,Muhammad Ali,Mike Tyson,Floyd Mayweather Jr.,Manny Pacquiao,a
34,What is the name of the famous American entrepreneur who is known for his work as the founder of Microsoft Corporation?,Steve Jobs,Mark Zuckerberg,Bill Gates,Larry Page,c
35,"What is the name of the famous American actress who is known for her work as a character in the ""Legally Blonde"" movies?",Reese Witherspoon,Cameron Diaz,Jennifer Lawrence,Anne Hathaway,a
36,What is the name of the famous American singer who is known for her work as a country music artist?,Dolly Parton,Taylor Swift,Carrie Underwood,Shania Twain,a
37,What is the name of the famous American athlete who is known for his work as a professional football player?,Tom Brady,Peyton Manning,Joe Montana,Brett Favre,a
38,"What is the name of the famous American actor who is known for his work as a character in the ""Forrest Gump"" movie?",Tom Hanks,Brad Pitt,Leonardo DiCaprio,Johnny Depp,a
39,"What is the name of the famous American singer who is known for her work as a character in the movie ""Dreamgirls""?",Beyonce,Alicia Keys,Whitney Houston,Christina Aguilera,a
40,What is the name of the famous American athlete who is known for her work as a professional tennis player?,Serena Williams,Venus Williams,Maria Sharapova,Steffi Graf,a
41,"What is the name of the famous American actor who is known for his work as a character in the ""Rocky"" movies?",Sylvester Stallone,Arnold Schwarzenegger,Bruce Willis,Jean-Claude Van Damme,a
42,What is the name of the famous American entrepreneur who is known for his work as the founder of Amazon.com?,Mark Zuckerberg,Jeff Bezos,Bill Gates,Elon Musk,b
43,"What is the name of the famous American actress who is known for her work as a character in the ""Harry Potter"" movies?",Emma Stone,Emma Watson,Jennifer Lawrence,Anne Hathaway,b
44,What is the name of the famous American singer who is known for her work as a pop star and actress?,Taylor Swift,Beyonce,Katy Perry,Rihanna,b
45,What is the name of the famous American athlete who is known for his work as a professional baseball player?,Babe Ruth,Mickey Mantle,Hank Aaron,Willie Mays,a
46,"What is the name of the famous American actor who is known for his work as a character in the ""Pirates of the Caribbean"" movies?",Johnny Depp,Tom Hanks,Brad Pitt,Leonardo DiCaprio,a
47,"What is the name of the famous American singer who is known for her work as a character in the movie ""Grease""?",Whitney Houston,Mariah Carey,Celine Dion,Olivia Newton-John,d
48,"What is the name of the famous American actor who is known for his work as a character in the ""The Godfather"" movies?",Al Pacino,Robert De Niro,Marlon Brando,James Caan,a
49,"What is the name of the famous American entrepreneur who is known for his work as the founder of Tesla, Inc.?",Elon Musk,Steve Jobs,Bill Gates,Mark Zuckerberg,a
50,"What is the name of the famous American actress who is known for her work as a character in the ""Mean Girls"" movie?",Amanda Seyfried,Lindsay Lohan,Emma Stone,Scarlett Johansson,b
51,"What is the name of the famous American actor who is known for his work as a character in the ""Indiana Jones"" movies?",Harrison Ford,Tom Cruise,Bruce Willis,Mel Gibson,a
52,"What is the name of the famous American actor who is known for his work as a character in the ""Die Hard"" movies?",Bruce Willis,Sylvester Stallone,Arnold Schwarzenegger,Jean-Claude Van Damme,a
